Response ID,Date submitted,Last page,Start language,What is your profession- [Biologist],What is your profession- [Chemist],What is your profession- [Biochemist],What is your profession- [Pharmacologist],What is your profession- [Pathologist],What is your profession- [Medical scientist],What is your profession- [Medical doctor],What is your profession- [Toxicologist / Forensic scientist],What is your profession- [Technical assistant],What is your profession- [Engineer/ Physicist],What is your profession- [Bioinformatician],What is your profession- [Mathematician/ Statistician],What is your profession- [Student],What is your profession- [Other],What is your field of use for MALDI imaging- [Small molecules],What is your field of use for MALDI imaging- [Lipidomics],What is your field of use for MALDI imaging- [Metabolomics],What is your field of use for MALDI imaging- [Proteomics],What is your field of use for MALDI imaging- [Pharmaceutical research],What is your field of use for MALDI imaging- [Biomarkers and diagnostics],What is your field of use for MALDI imaging- [Pathology and molecular histology],What is your field of use for MALDI imaging- [Forensics and toxicology],What is your field of use for MALDI imaging- [Polymer research],What is your field of use for MALDI imaging- [Plant research],What is your field of use for MALDI imaging- [Microbiology],What is your field of use for MALDI imaging- [Methodology],What is your field of use for MALDI imaging- [Bioinformatics],What is your field of use for MALDI imaging- [MALDI-imaging services],What is your field of use for MALDI imaging- [Instrumentation],What is your field of use for MALDI imaging- [Other],Which ionization techniques do you use in your lab for mass spectrometry imaging- [MALDI (Matrix-assisted laser desorption/ionization)],Which ionization techniques do you use in your lab for mass spectrometry imaging- [DESI (Desorption electrospray ionization)],Which ionization techniques do you use in your lab for mass spectrometry imaging- [SIMS (Secondary ion mass spectrometry)],Which ionization techniques do you use in your lab for mass spectrometry imaging- [LAESI (Laser ablation electrospray ionization)],Which ionization techniques do you use in your lab for mass spectrometry imaging- [Other],"Which type of mass analyzers do you use in your lab for mass spectrometry imaging- [ToF (Time of flight), linear mode]","Which type of mass analyzers do you use in your lab for mass spectrometry imaging- [ToF (Time of flight), reflector mode]",Which type of mass analyzers do you use in your lab for mass spectrometry imaging- [Q-ToF (Quadrupole time of flight)],Which type of mass analyzers do you use in your lab for mass spectrometry imaging- [FT-ICR (Fourier transform ion cyclotron resonance)],Which type of mass analyzers do you use in your lab for mass spectrometry imaging- [FT-Orbitrap],Which type of mass analyzers do you use in your lab for mass spectrometry imaging- [Other],How many/ which mass spectrometers do you have in your lab for performing MS imaging experiments-,How many MS imaging data sets are acquired in your lab on average-,How many MS imaging data sets are acquired in your lab on average- [Other],"How many of these data sets are high-resolution MS imaging data sets (QToF, FT-ICR, FT-Orbitrap, other) -","How many of these data sets are high-resolution MS imaging data sets (QToF, FT-ICR, FT-Orbitrap, other) - [Other]",What impact do you expect METASPACE to have on the work in your lab/ industry-,"Which features, functions, or performance characteristics would increase the impact of METASPACE on the work in your lab/ industry- Which processing constraints are valid for you (e.g. runtime, size of data)-",What would be the preferable way of running the software- [Online in a cloud/ community server],What would be the preferable way of running the software- [Local cluster/ server],What would be the preferable way of running the software- [Workstation],What would be the preferable way of running the software- [Desktop PC],What would be the preferable way of running the software- [Laptop],What would be the preferable way of running the software- [Other],Which types / formats of input data are necessary- [imzML format],Which types / formats of input data are necessary- [SCiLS Lab format],Which types / formats of input data are necessary- [Other MS imaging software format],Which types / formats of input data are necessary- [Bruker raw data],Which types / formats of input data are necessary- [Shimadzu raw data],Which types / formats of input data are necessary- [Sciex raw data],Which types / formats of input data are necessary- [Thermo Fisher Scientific raw data],Which types / formats of input data are necessary- [Waters raw data],Which types / formats of input data are necessary- [Other mass spec vendor's raw data],Which types / formats of input data are necessary- [Other],Which types of output should be provided- [Interactive web browser],Which types of output should be provided- [Integration within SCiLS Lab],Which types of output should be provided- [PDF report],Which types of output should be provided- [List of molecules],Which types of output should be provided- [Images],Which types of output should be provided- [Other],How important would be for you the sustainability of the engine-,How important would be for you customization services-,How important would be for you maintenance and support-,If you have any further comments or general remarks please leave them here:
27,1980-01-01 00:00:00,3,en,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,,Yes,No,No,No,,Yes,Yes,No,No,No,,"one, ultraflextreme",1-2 data sets / week,,1-2 data sets / week,,Unsure,decrease runtime and size of date,No,No,No,Yes,No,,No,Yes,No,Yes,No,No,No,No,No,,No,No,No,Yes,Yes,,"important, but not to the level to pay for it","important, but not to the level to pay for it","important, but not to the level to pay for it",
28,1980-01-01 00:00:00,3,en,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,,Yes,No,No,No,,No,Yes,No,Yes,No,,,3-5 data sets / week,,3-5 data sets / week,,Very high impact,"Having a processing tool that can handle the large data-sets from high resolution platform is key, currently this is our biggest restraint.
having a tool that can be routinely applied to our investigations in a rapid, robust and automated manner will significantly increase our output. This is huge when we think about turnaround times for investigations and publications.
Having a database that includes more of the ions relative to each ionisation mode is important. For example, most databases are tailored towards ESI and thus miss many of the ions formed by MALDI, which slows down processing as everything has to be mined by hand. Most databases include the [M+H]+, [M+Na]+ and the [M+K]+, but none have the fragment ions that are commonly observed, such as [M-CH3]-. 
Having an algorithm that sums the ions/adducts of the same species is also important for clinical/disease state comparisons, as people often report changes in species when there aren't any changes, and it is actually changes in the sodium and potassium content. ",No,No,Yes,Yes,Yes,It wouldn't be ideal to be dependent on the internet to be able to process my data. ,Yes,Yes,No,Yes,No,No,Yes,Yes,No,,No,No,No,Yes,Yes,,"important, but not to the level to pay for it","important, but not to the level to pay for it","important, but not to the level to pay for it",
29,1980-01-01 00:00:00,3,en,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,,Yes,Yes,Yes,No,,No,Yes,Yes,Yes,No,,"MALDI-TOF/TOF
SIMS-TOF",,,1-2 data sets / day,,Very high impact,dont know,Yes,Yes,No,No,No,,Yes,Yes,Yes,Yes,No,No,No,No,No,ION TOF,Yes,Yes,Yes,Yes,Yes,,"crucial, ready to pay for it","important, but not to the level to pay for it","important, but not to the level to pay for it",
31,,1,en,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,crude oil analysis,Yes,No,Yes,Yes,,No,Yes,No,No,No,,21,Less than 1 data set / week,,Less than 1 data set / week,,,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,
32,1980-01-01 00:00:00,3,en,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,,Yes,No,No,No,,No,Yes,No,No,Yes,,,,,,,Unsure,Runtime; keeping spatial Resolution; size of data,No,No,Yes,Yes,Yes,,Yes,No,No,Yes,Yes,No,Yes,Yes,No,,No,No,Yes,Yes,Yes,,"important, but not to the level to pay for it","important, but not to the level to pay for it","important, but not to the level to pay for it",
33,1980-01-01 00:00:00,3,en,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,,Yes,No,No,No,,Yes,Yes,No,No,No,,"lMscope, autoflex II",1-2 data sets / week,,Less than 1 data set / week,,Very high impact,runtime,No,No,No,Yes,No,,No,Yes,No,Yes,Yes,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,,"important, but not to the level to pay for it","important, but not to the level to pay for it","important, but not to the level to pay for it",
34,1980-01-01 00:00:00,3,en,No,No,No,No,No,No,No,No,No,No,No,No,No,PhD candidate,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Glycomics,Yes,No,No,No,,No,Yes,No,Yes,No,,3-4,3-5 data sets / week,,1-2 data sets / week,,High impact,"- Glycan and protein database
- spatial mapping of two molecule classes from the same tissue",Yes,No,No,Yes,No,,Yes,Yes,No,Yes,No,No,No,No,No,,No,Yes,No,Yes,Yes,,"crucial, ready to pay for it","crucial, ready to pay for it","crucial, ready to pay for it",
35,1980-01-01 00:00:00,3,en,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,,Yes,No,No,No,,Yes,Yes,Yes,No,No,,3,1-2 data sets / day,,1-2 data sets / week,,High impact,time,Yes,Yes,No,Yes,No,,Yes,Yes,Yes,No,No,No,No,Yes,No,,Yes,Yes,Yes,Yes,Yes,,"important, but not to the level to pay for it","important, but not to the level to pay for it",I don't know,
36,,,en,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,
37,1980-01-01 00:00:00,3,en,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,,Yes,Yes,No,No,,No,No,No,No,Yes,Ion trap,"DESI Exactive Orbitrap
DESI LTQ XL Linear Ion Trap
AP SMALDI QExactive Orbitrap",3-5 data sets / week,,3-5 data sets / week,,Unsure,"Ease of use, ease of interpretation.",No,No,Yes,No,No,,Yes,No,No,No,No,No,Yes,No,No,,No,No,Yes,Yes,Yes,,"important, but not to the level to pay for it",I don't know,I don't know,
38,,,en,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,
39,1980-01-01 00:00:00,3,en,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,,Yes,Yes,No,Yes,No,,"2 instruments
MALDI-TOF/TOF
MALDI-FTICR",1-2 data sets / week,,1-2 data sets / week,,Unsure,lab is not focused on metabolomics,No,No,No,Yes,No,,Yes,Yes,No,Yes,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,Spectrum - mzML,I don't know,I don't know,"crucial, ready to pay for it",
40,1980-01-01 00:00:00,3,en,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,No,No,,No,No,Yes,No,Yes,,"Xevo QTof (1)
LTQ Orbitrap (1)
Exactive Orbitrap (2)
",1-2 data sets / day,,1-2 data sets / day,,Unsure,,No,No,Yes,Yes,No,,Yes,No,No,No,No,No,No,Yes,No,,No,No,No,Yes,No,,"important, but not to the level to pay for it","crucial, ready to pay for it","important, but not to the level to pay for it",
41,,,en,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,
42,1980-01-01 00:00:00,3,en,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No,,Yes,No,No,No,LA-ICPMS LESA,Yes,Yes,Yes,No,No,,"AB Sciex QStar
Bruker Autoflex
Waters Synpat G2
Perkin Elmer Nexion
AB Sciex Voyager DE-STR
AB Sciex Voyager DE-Pro",3-5 data sets / day,,1-2 data sets / day,,High impact,Ability to handle large datasets quickly,Yes,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,,Yes,No,Yes,Yes,Yes,.txt files for use with other software,"important, but not to the level to pay for it","important, but not to the level to pay for it","important, but not to the level to pay for it",
43,1980-01-01 00:00:00,3,en,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,,Yes,No,No,No,,Yes,Yes,No,No,No,,1,Less than 1 data set / week,,,,Unsure,,No,Yes,Yes,Yes,No,,No,No,No,Yes,No,No,No,No,No,,Yes,No,Yes,Yes,Yes,,I don't know,I don't know,I don't know,
44,1980-01-01 00:00:00,3,en,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,,Yes,Yes,No,No,,No,No,No,Yes,No,,1- FT-ICR,1-2 data sets / day,,Other,all,Unsure,"Fast,exportable peak picking
Peak lists in formats compatible with many programs
Data analysis is problematic now and takes too long. ideally around 1 hour would be good (or less), avg size of data is 40G per image",No,No,No,Yes,No,,Yes,Yes,No,Yes,No,No,Yes,Yes,No,,No,No,No,Yes,Yes,tx format peak information,I don't know,I don't know,I don't know,
45,1980-01-01 00:00:00,3,en,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,,Yes,Yes,No,No,Yes,,"MALDI-Orbitrap, UltraflexII, Autoflex speed",1-2 data sets / day,,1-2 data sets / week,,High impact,confidence of identification,Yes,No,Yes,No,No,,No,Yes,Yes,Yes,No,No,Yes,Yes,No,,No,Yes,No,No,Yes,,"important, but not to the level to pay for it","important, but not to the level to pay for it","important, but not to the level to pay for it",
46,1980-01-01 00:00:00,3,en,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,,Yes,No,No,No,,No,Yes,No,No,No,,Ultraflextreme (Bruker) - one spectrometer,Less than 1 data set / week,,,,Unsure,"size of data, comparison of LC-MS/MS data with IMS data, peak picking of IMS data",No,No,Yes,No,No,,Yes,No,No,Yes,No,No,No,No,No,ASCII,Yes,Yes,No,Yes,Yes,,I don't know,"crucial, ready to pay for it","crucial, ready to pay for it",
47,1980-01-01 00:00:00,3,en,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,,Yes,No,No,No,,Yes,Yes,No,No,No,,two,1-2 data sets / week,,Less than 1 data set / week,,High impact,usable for TOF/TOF instruments (CID fragments),No,No,No,No,Yes,,No,Yes,No,Yes,No,No,No,No,No,,No,Yes,Yes,Yes,Yes,,"important, but not to the level to pay for it","important, but not to the level to pay for it","important, but not to the level to pay for it",I would like to be a tester of this softawre if possible
48,1980-01-01 00:00:00,3,en,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,,Yes,No,No,No,,Yes,Yes,No,No,No,,Just one,1-2 data sets / day,,,,High impact,,No,No,Yes,Yes,No,,Yes,Yes,No,Yes,No,No,No,No,No,,Yes,Yes,No,Yes,Yes,,"important, but not to the level to pay for it","important, but not to the level to pay for it","important, but not to the level to pay for it",
49,1980-01-01 00:00:00,3,en,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,,Yes,Yes,No,No,,No,Yes,Yes,Yes,Yes,,"Bruker Xtereme *2
Synapt G2S",3-5 data sets / week,,Less than 1 data set / week,,Very high impact,,No,Yes,Yes,Yes,No,,Yes,No,No,No,No,No,No,No,No,,No,No,Yes,Yes,No,,"important, but not to the level to pay for it","important, but not to the level to pay for it","important, but not to the level to pay for it",
50,,2,en,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,No,,No,No,Yes,No,Yes,,All,,,,,Unsure,Open source,Yes,Yes,Yes,Yes,Yes,,Yes,No,No,No,No,No,No,No,No,,Yes,No,Yes,Yes,Yes,,,,,
51,1980-01-01 00:00:00,3,en,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Computer Scientist,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No,,No,Yes,Yes,No,Yes,,,3-5 data sets / day,,1-2 data sets / day,,Unsure,,Yes,Yes,Yes,Yes,Yes,,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,No,Yes,Yes,Yes,,I don't know,"important, but not to the level to pay for it","important, but not to the level to pay for it",
52,1980-01-01 00:00:00,3,en,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,,Yes,No,No,No,,Yes,Yes,No,No,No,,"one
UltrafleXtrem MALDI-TOF-TOF Bruker",1-2 data sets / week,,,,Unsure,size data,Yes,No,No,No,No,,No,Yes,No,Yes,No,No,No,No,No,,Yes,Yes,No,No,Yes,,"crucial, ready to pay for it","crucial, ready to pay for it","crucial, ready to pay for it",
53,,,en,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,
54,1980-01-01 00:00:00,3,en,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,,Yes,No,Yes,No,,No,No,Yes,Yes,No,,"two instruments: Waters G2 Q-TOF, with ion mobility; Bruker SolariX FTICR 7T",3-5 data sets / week,,1-2 data sets / week,,,"Runtime is an issue as it already takes overnight and most of the next day to load data into the imaging software. Mining the data is difficult because there's no easy way to do a database search for metabolite information. Having the ability to export a list of interest or importing data that was already filtered by METASPACE for potential identifications would cut down on the data mining time. Currently, I do database searches individually by hand rather than by some batch process.",No,Yes,No,No,No,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,"Starting with Bruker is essential due to the high mass resolution, but incorporating other vendors as the system is developed is ideal.",No,Yes,No,Yes,Yes,,"crucial, ready to pay for it","important, but not to the level to pay for it","crucial, ready to pay for it",
