Response ID;Date submitted;Last page;Start language;What is your profession- [Biologist];What is your profession- [Chemist];What is your profession- [Biochemist];What is your profession- [Pharmacologist];What is your profession- [Pathologist];What is your profession- [Medical scientist];What is your profession- [Medical doctor];What is your profession- [Toxicologist / Forensic scientist];What is your profession- [Technical assistant];What is your profession- [Engineer/ Physicist];What is your profession- [Bioinformatician];What is your profession- [Mathematician/ Statistician];What is your profession- [Student];What is your profession- [PhD Student];What is your profession- [Computer Science];What is your profession- [Mass Spectrometrist];What is your profession- [Microbiologist];What is your field of use for MALDI imaging- [Small molecules];What is your field of use for MALDI imaging- [Lipidomics];What is your field of use for MALDI imaging- [Metabolomics];What is your field of use for MALDI imaging- [Proteomics];What is your field of use for MALDI imaging- [Pharmaceutical research];What is your field of use for MALDI imaging- [Biomarkers and diagnostics];What is your field of use for MALDI imaging- [Pathology and molecular histology];What is your field of use for MALDI imaging- [Forensics and toxicology];What is your field of use for MALDI imaging- [Polymer research];What is your field of use for MALDI imaging- [Plant research];What is your field of use for MALDI imaging- [Microbiology];What is your field of use for MALDI imaging- [Methodology];What is your field of use for MALDI imaging- [Bioinformatics];What is your field of use for MALDI imaging- [MALDI-imaging services];What is your field of use for MALDI imaging- [Instrumentation];What is your field of use for MALDI imaging- [Other];Which ionization techniques do you use in your lab for mass spectrometry imaging- [MALDI (Matrix-assisted laser desorption/ionization)];Which ionization techniques do you use in your lab for mass spectrometry imaging- [DESI (Desorption electrospray ionization)];Which ionization techniques do you use in your lab for mass spectrometry imaging- [SIMS (Secondary ion mass spectrometry)];Which ionization techniques do you use in your lab for mass spectrometry imaging- [LAESI (Laser ablation electrospray ionization)];Which ionization techniques do you use in your lab for mass spectrometry imaging- [Other];Which type of mass analyzers do you use in your lab for mass spectrometry imaging- [ToF (Time of flight), linear mode];Which type of mass analyzers do you use in your lab for mass spectrometry imaging- [ToF (Time of flight), reflector mode];Which type of mass analyzers do you use in your lab for mass spectrometry imaging- [Q-ToF (Quadrupole time of flight)];Which type of mass analyzers do you use in your lab for mass spectrometry imaging- [FT-ICR (Fourier transform ion cyclotron resonance)];Which type of mass analyzers do you use in your lab for mass spectrometry imaging- [FT-Orbitrap];Which type of mass analyzers do you use in your lab for mass spectrometry imaging- [Other];How many mass spectrometers do you have in your lab for performing MS imaging experiments-;Which mass spectrometers do you have in your lab for performing MS imaging experiments-;How many MS imaging data sets are acquired in your lab on average-;How many MS imaging data sets are acquired in your lab on average- [Other];How many of these data sets are high-resolution MS imaging data sets (QToF, FT-ICR, FT-Orbitrap, other) -;How many of these data sets are high-resolution MS imaging data sets (QToF, FT-ICR, FT-Orbitrap, other) - [Other];What impact do you expect METASPACE to have on the work in your lab/ industry-;Which features, functions, or performance characteristics would increase the impact of METASPACE on the work in your lab/ industry- Which processing constraints are valid for you (e.g. runtime, size of data)-;What would be the preferable way of running the software- [Online in a cloud/ community server];What would be the preferable way of running the software- [Local cluster/ server];What would be the preferable way of running the software- [Workstation];What would be the preferable way of running the software- [Desktop PC];What would be the preferable way of running the software- [Laptop];What would be the preferable way of running the software- [Other];Which types / formats of input data are necessary- [imzML format];Which types / formats of input data are necessary- [SCiLS Lab format];Which types / formats of input data are necessary- [Other MS imaging software format];Which types / formats of input data are necessary- [Bruker raw data];Which types / formats of input data are necessary- [Shimadzu raw data];Which types / formats of input data are necessary- [Sciex raw data];Which types / formats of input data are necessary- [Thermo Fisher Scientific raw data];Which types / formats of input data are necessary- [Waters raw data];Which types / formats of input data are necessary- [Other mass spec vendor's raw data];Which types / formats of input data are necessary- [Other];Which types of output should be provided- [Interactive web browser];Which types of output should be provided- [Integration within SCiLS Lab];Which types of output should be provided- [PDF report];Which types of output should be provided- [List of molecules];Which types of output should be provided- [Images];Which types of output should be provided- [Other];How important would be for you the sustainability of the engine-;How important would be for you customization services-;How important would be for you maintenance and support-;If you have any further comments or general remarks please leave them here:
120;01/01/80 00:00;3;en;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No;;Yes;No;No;No;;No;Yes;No;No;No;;0;Cooperation ;;;;;Low impact;Other data than metabolimics ;Yes;No;No;No;No;;Yes;Yes;No;No;No;No;No;No;No;;Yes;Yes;Yes;Yes;Yes;;not important;not important;not important;
129;01/01/80 00:00;3;en;No;No;No;No;No;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;Yes;No;No;;Yes;No;No;No;;Yes;Yes;No;No;No;;1;Bruker UltrafleXtreme;1-2 data sets / week;;Less than 1 data set / week;;Unsure;;No;No;Yes;Yes;Yes;;Yes;No;No;No;No;No;No;No;No;;Yes;No;Yes;Yes;Yes;;important, but not to the level to pay for it;important, but not to the level to pay for it;crucial, ready to pay for it;
30;01/01/80 00:00;3;en;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;No;;Yes;Yes;No;No;;Yes;Yes;Yes;Yes;No;;;4;1-2 data sets / day;;1-2 data sets / week;;Unsure;runtime, size of data, automation, validity of annotation = workload required for metabolite verification;No;Yes;Yes;Yes;No;;Yes;Yes;Yes;Yes;No;No;No;No;No;;Yes;Yes;Yes;No;No;;I don't know;I don't know;I don't know;I do not know the system yet. 
21;01/01/80 00:00;3;en;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;Yes;No;No;No;No;Yes;No;No;No;;Yes;No;No;No;;Yes;Yes;No;Yes;No;;5;"1x Bruker Autoflex
1x Bruker UltrafleXtreme
3x Bruker SolariX XR (9.4T, 12T, 15T)";3-5 data sets / week;;3-5 data sets / week;;Unsure;-;Yes;No;Yes;Yes;No;;No;No;No;Yes;No;No;No;No;No;;Yes;Yes;Yes;Yes;Yes;;;;;-
15;01/01/80 00:00;3;en;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;Yes;No;Yes;Yes;No;No;No;No;No;No;;Yes;No;No;No;;Yes;Yes;No;No;No;;;;1-2 data sets / week;;;;Unsure;;Yes;No;No;Yes;No;;Yes;Yes;No;No;No;No;No;No;No;;Yes;Yes;Yes;Yes;Yes;;crucial, ready to pay for it;important, but not to the level to pay for it;crucial, ready to pay for it;
27;01/01/80 00:00;3;en;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Yes;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;;Yes;No;No;No;;Yes;Yes;No;No;No;;1;one, ultraflextreme;1-2 data sets / week;;1-2 data sets / week;;Unsure;decrease runtime and size of date;No;No;No;Yes;No;;No;Yes;No;Yes;No;No;No;No;No;;No;No;No;Yes;Yes;;important, but not to the level to pay for it;important, but not to the level to pay for it;important, but not to the level to pay for it;
39;01/01/80 00:00;3;en;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;;Yes;No;No;No;;Yes;Yes;No;Yes;No;;2;"2 instruments
MALDI-TOF/TOF
MALDI-FTICR";1-2 data sets / week;;1-2 data sets / week;;Unsure;lab is not focused on metabolomics;No;No;No;Yes;No;;Yes;Yes;No;Yes;No;No;No;No;No;;Yes;Yes;Yes;Yes;Yes;Spectrum - mzML;I don't know;I don't know;crucial, ready to pay for it;
52;01/01/80 00:00;3;en;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Yes;Yes;Yes;Yes;No;No;No;No;No;No;Yes;No;;Yes;No;No;No;;Yes;Yes;No;No;No;;1;"one
UltrafleXtrem MALDI-TOF-TOF Bruker";1-2 data sets / week;;;;Unsure;size data;Yes;No;No;No;No;;No;Yes;No;Yes;No;No;No;No;No;;Yes;Yes;No;No;Yes;;crucial, ready to pay for it;crucial, ready to pay for it;crucial, ready to pay for it;
66;01/01/80 00:00;3;en;No;No;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Yes;Yes;No;Yes;Yes;No;No;No;No;No;No;No;Yes;No;;Yes;No;No;No;;No;No;Yes;Yes;No;;4;"2 Qstar XL QTofs
2 SolariX FTICRs (7 telsa paracell)";More than 5 data sets / day;;More than 5 data sets / day;;High impact;Would need to handle large (>100GB) FT data sets.  If we could queue up batches of imaging data, that would be preferred.;No;Yes;No;No;No;;No;Yes;No;Yes;No;No;No;No;No;;Yes;Yes;Yes;Yes;Yes;;important, but not to the level to pay for it;important, but not to the level to pay for it;important, but not to the level to pay for it;If the annotation proves successful, likely that we would be willing to pay for services, but would need to justify need for budget approval (hence impact on workflow needs to be demonstrated first).
74;01/01/80 00:00;3;en;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;;Yes;No;No;No;Desorption ionization on porous silicon;Yes;Yes;No;No;No;;2;Bruker Ultraflex III & Ultraflextreme;1-2 data sets / week;;Less than 1 data set / week;;High impact;size of data sets and reduced loss of low signal to noise peak annotation (drug distribution - metabolite detection can be at low signal intensity).;Yes;No;No;No;No;;Yes;Yes;Yes;Yes;No;No;No;No;No;;Yes;Yes;No;No;Yes;;important, but not to the level to pay for it;important, but not to the level to pay for it;crucial, ready to pay for it;This kind of data can be complementary to a targeted analysis, i.e. drug distribution and associated up-regulation of inflammatory markers or metabolic by-products. It would be really useful for integration into the SCiLS Lab platform.
102;01/01/80 00:00;3;en;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;Yes;Yes;No;No;No;;Yes;No;No;No;;No;No;No;No;Yes;;1;1 Q Exactive plus-AP-SMALDI source;3-5 data sets / week;;3-5 data sets / week;;Very high impact;"Automatic adduct finding
Automatic homolog finding";No;No;Yes;No;No;;Yes;No;No;Yes;No;No;Yes;No;No;;Yes;No;No;Yes;Yes;;important, but not to the level to pay for it;crucial, ready to pay for it;important, but not to the level to pay for it;
108;01/01/80 00:00;3;en;No;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;;Yes;No;No;No;;Yes;Yes;No;No;No;;;;3-5 data sets / week;;;;Unsure;;No;Yes;Yes;Yes;No;;Yes;Yes;No;Yes;No;No;No;No;No;;Yes;Yes;No;Yes;Yes;;crucial, ready to pay for it;crucial, ready to pay for it;important, but not to the level to pay for it;
110;01/01/80 00:00;3;en;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Yes;Yes;Yes;No;Yes;Yes;No;No;No;No;No;No;Yes;No;;Yes;No;No;No;;Yes;Yes;No;No;No;;1;1 MALDI TOF Ultraflexstreme III;1-2 data sets / day;;;;Unsure;;No;Yes;Yes;Yes;No;;No;Yes;No;Yes;No;No;No;No;No;;Yes;Yes;No;Yes;Yes;;important, but not to the level to pay for it;I don't know;crucial, ready to pay for it;
131;01/01/80 00:00;3;;No;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;;Yes;No;No;No;;Yes;Yes;No;No;No;;1;Bruker autoflex speed;3-5 data sets / week;;;;Unsure;;No;No;Yes;No;No;;Yes;No;No;Yes;No;No;Yes;No;No;;Yes;No;Yes;Yes;Yes;;I don't know;I don't know;I don't know;
19;01/01/80 00:00;3;en;No;Yes;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;Yes;Yes;No;No;No;No;No;No;No;Yes;Yes;Yes;No;No;;Yes;No;No;No;;No;No;No;No;Yes;;1;1 AP-MALDI-Orbitrap;3-5 data sets / week;;3-5 data sets / week;;Very high impact;;No;Yes;Yes;No;No;;Yes;Yes;No;No;No;No;No;No;No;;Yes;No;No;Yes;No;;important, but not to the level to pay for it;important, but not to the level to pay for it;important, but not to the level to pay for it;
29;01/01/80 00:00;3;en;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;;Yes;Yes;Yes;No;;No;Yes;Yes;Yes;No;;2;"MALDI-TOF/TOF
SIMS-TOF";1-2 data sets / day;;1-2 data sets / day;;Very high impact;dont know;Yes;Yes;No;No;No;;Yes;Yes;Yes;Yes;No;No;No;No;No;ION TOF;Yes;Yes;Yes;Yes;Yes;;crucial, ready to pay for it;important, but not to the level to pay for it;important, but not to the level to pay for it;
32;01/01/80 00:00;3;en;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;No;Yes;;Yes;No;No;No;;No;Yes;No;No;Yes;;;;;;;;Unsure;"Runtime; keeping spatial Resolution; size of data";No;No;Yes;Yes;Yes;;Yes;No;No;Yes;Yes;No;Yes;Yes;No;;No;No;Yes;Yes;Yes;;important, but not to the level to pay for it;important, but not to the level to pay for it;important, but not to the level to pay for it;
37;01/01/80 00:00;3;en;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Yes;No;No;Yes;No;No;No;No;Yes;No;No;No;No;No;;Yes;Yes;No;No;;No;No;No;No;Yes;Ion trap;3;"DESI Exactive Orbitrap
DESI LTQ XL Linear Ion Trap
AP SMALDI QExactive Orbitrap";3-5 data sets / week;;3-5 data sets / week;;Unsure;Ease of use, ease of interpretation.;No;No;Yes;No;No;;Yes;No;No;No;No;No;Yes;No;No;;No;No;Yes;Yes;Yes;;important, but not to the level to pay for it;I don't know;I don't know;
40;01/01/80 00:00;3;en;No;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;;Yes;Yes;No;No;;No;No;Yes;No;Yes;;4;"Xevo QTof (1)
LTQ Orbitrap (1)
Exactive Orbitrap (2)
";1-2 data sets / day;;1-2 data sets / day;;Unsure;;No;No;Yes;Yes;No;;Yes;No;No;No;No;No;No;Yes;No;;No;No;No;Yes;No;;important, but not to the level to pay for it;crucial, ready to pay for it;important, but not to the level to pay for it;
42;01/01/80 00:00;3;en;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Yes;Yes;Yes;No;No;Yes;No;No;Yes;No;No;No;Yes;No;;Yes;No;No;No;LA-ICPMS LESA;Yes;Yes;Yes;No;No;;6;"AB Sciex QStar
Bruker Autoflex
Waters Synpat G2
Perkin Elmer Nexion
AB Sciex Voyager DE-STR
AB Sciex Voyager DE-Pro";3-5 data sets / day;;1-2 data sets / day;;High impact;Ability to handle large datasets quickly;Yes;No;No;No;No;;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;;Yes;No;Yes;Yes;Yes;.txt files for use with other software;important, but not to the level to pay for it;important, but not to the level to pay for it;important, but not to the level to pay for it;
47;01/01/80 00:00;3;en;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Yes;No;Yes;No;No;No;No;Yes;No;No;No;No;No;No;;Yes;No;No;No;;Yes;Yes;No;No;No;;2;two;1-2 data sets / week;;Less than 1 data set / week;;High impact;usable for TOF/TOF instruments (CID fragments);No;No;No;No;Yes;;No;Yes;No;Yes;No;No;No;No;No;;No;Yes;Yes;Yes;Yes;;important, but not to the level to pay for it;important, but not to the level to pay for it;important, but not to the level to pay for it;I would like to be a tester of this softawre if possible
49;01/01/80 00:00;3;en;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No;Yes;No;No;No;No;No;No;Yes;No;Yes;No;;Yes;Yes;No;No;;No;Yes;Yes;Yes;Yes;;3;"Bruker Xtereme *2
Synapt G2S";3-5 data sets / week;;Less than 1 data set / week;;Very high impact;;No;Yes;Yes;Yes;No;;Yes;No;No;No;No;No;No;No;No;;No;No;Yes;Yes;No;;important, but not to the level to pay for it;important, but not to the level to pay for it;important, but not to the level to pay for it;
56;01/01/80 00:00;3;en;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;No;Yes;Yes;;Yes;Yes;Yes;Yes;LTP;Yes;Yes;Yes;Yes;No;;15;15;3-5 data sets / day;;3-5 data sets / day;;High impact;;Yes;Yes;No;No;No;;Yes;Yes;No;Yes;No;No;Yes;Yes;No;;Yes;Yes;Yes;Yes;Yes;;I don't know;I don't know;crucial, ready to pay for it;
64;01/01/80 00:00;3;en;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;Yes;No;;Yes;No;No;No;;Yes;Yes;No;Yes;No;;;;Less than 1 data set / week;;Less than 1 data set / week;;Unsure;;Yes;Yes;Yes;Yes;No;;Yes;Yes;No;Yes;No;No;No;No;No;;Yes;Yes;Yes;Yes;Yes;;I don't know;I don't know;important, but not to the level to pay for it;
67;01/01/80 00:00;3;en;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Yes;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No;No;;Yes;No;No;No;;No;Yes;No;Yes;No;;2;"2 :
- 1 Bruker Autoflex Speed TOF TOF
- 1 Bruker Solarix FTICR";3-5 data sets / week;;3-5 data sets / week;;High impact;"- Integration with Scils Lab pipelines for automation of database queries
- Optimum exploitation of the spectral richness of FTICR data (accumrate mass + isotopic fine structure)
";No;No;Yes;No;No;;Yes;Yes;No;Yes;No;No;No;No;No;;No;Yes;Yes;Yes;No;;crucial, ready to pay for it;important, but not to the level to pay for it;crucial, ready to pay for it;
