Response ID,Date submitted,Last page,Start language,What is your profession? [Biologist],What is your profession? [Chemist],What is your profession? [Biochemist],What is your profession? [Pharmacologist],What is your profession? [Pathologist],What is your profession? [Medical scientist],What is your profession? [Medical doctor],What is your profession? [Toxicologist / Forensic scientist],What is your profession? [Technical assistant],What is your profession? [Engineer/ Physicist],What is your profession? [Bioinformatician],What is your profession? [Mathematician/ Statistician],What is your profession? [Student],What is your profession? [Other],What is your field of use for MALDI imaging? [Small molecules],What is your field of use for MALDI imaging? [Lipidomics],What is your field of use for MALDI imaging? [Metabolomics],What is your field of use for MALDI imaging? [Proteomics],What is your field of use for MALDI imaging? [Pharmaceutical research],What is your field of use for MALDI imaging? [Biomarkers and diagnostics],What is your field of use for MALDI imaging? [Pathology and molecular histology],What is your field of use for MALDI imaging? [Forensics and toxicology],What is your field of use for MALDI imaging? [Polymer research],What is your field of use for MALDI imaging? [Plant research],What is your field of use for MALDI imaging? [Microbiology],What is your field of use for MALDI imaging? [Methodology],What is your field of use for MALDI imaging? [Bioinformatics],What is your field of use for MALDI imaging? [MALDI-imaging services],What is your field of use for MALDI imaging? [Instrumentation],What is your field of use for MALDI imaging? [Other],Which ionization techniques do you use in your lab for mass spectrometry imaging? [MALDI (Matrix-assisted laser desorption/ionization)],Which ionization techniques do you use in your lab for mass spectrometry imaging? [DESI (Desorption electrospray ionization)],Which ionization techniques do you use in your lab for mass spectrometry imaging? [SIMS (Secondary ion mass spectrometry)],Which ionization techniques do you use in your lab for mass spectrometry imaging? [LAESI (Laser ablation electrospray ionization)],Which ionization techniques do you use in your lab for mass spectrometry imaging? [Other],Which type of mass analyzers do you use in your lab for mass spectrometry imaging? [ToF (Time of flight) -  linear mode],Which type of mass analyzers do you use in your lab for mass spectrometry imaging? [ToF (Time of flight) -  reflector mode],Which type of mass analyzers do you use in your lab for mass spectrometry imaging? [Q-ToF (Quadrupole time of flight)],Which type of mass analyzers do you use in your lab for mass spectrometry imaging? [FT-ICR (Fourier transform ion cyclotron resonance)],Which type of mass analyzers do you use in your lab for mass spectrometry imaging? [FT-Orbitrap],Which type of mass analyzers do you use in your lab for mass spectrometry imaging? [Other],How many mass spectrometers do you have in your lab for performing MS imaging experiments?,Which mass spectrometers do you have in your lab for performing MS imaging experiments?,How many MS imaging data sets are acquired in your lab on average?,How many MS imaging data sets are acquired in your lab on average? [Other],How many of these data sets are high-resolution MS imaging data sets (QToF -  FT-ICR -  FT-Orbitrap -  other) ?,How many of these data sets are high-resolution MS imaging data sets (QToF -  FT-ICR -  FT-Orbitrap -  other) ? [Other],If you have any further comments or general remarks please leave them here:
18,1980-01-01 00:00:00,1,en,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,,No,No,No,Yes,No,,1,FTICR: SolariX XR from Bruker,3-5 data sets / week,,3-5 data sets / week,,
19,1980-01-01 00:00:00,1,en,No,No,No,No,No,No,No,No,No,No,Yes,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,,Yes,No,No,No,,Yes,Yes,No,Yes,No,,,,,,,,
21,1980-01-01 00:00:00,1,en,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,,Yes,No,No,No,,Yes,Yes,No,No,No,,1,Ultraflextreme Bruker MALDI TOF/TOF ,1-2 data sets / week,,,,
22,1980-01-01 00:00:00,1,en,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,,Yes,Yes,No,No,No,,3,MALDI TOF \t FTICR,1-2 data sets / day,,1-2 data sets / week,,
23,1980-01-01 00:00:00,1,en,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,,No,Yes,No,No,No,,1,Ultraflextreme Bruker MALDI TOF/TOF ,3-5 data sets / week,,Other,None,
24,1980-01-01 00:00:00,1,en,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,,Yes,No,No,No,,Yes,Yes,No,Yes,No,,2,solariX 7 T FTICR MS (Bruker)\tUltraflex III MALDI-TOF/TOF MS (Bruker),3-5 data sets / week,,1-2 data sets / week,,
25,1980-01-01 00:00:00,1,en,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,,Yes,No,No,No,,No,No,No,Yes,No,,1,,3-5 data sets / day,,3-5 data sets / day,,
26,1980-01-01 00:00:00,1,en,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,,Yes,No,No,No,,Yes,Yes,No,No,No,,1,Autoflex III Bruker Daltonics,3-5 data sets / week,,Other,not one,Development on FFPE tissues in progress in our lab.
27,1980-01-01 00:00:00,1,en,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,glycans,Yes,No,No,No,,Yes,No,No,No,No,,1,,Less than 1 data set / week,,Less than 1 data set / week,,
28,1980-01-01 00:00:00,1,en,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,,Yes,No,No,No,,Yes,Yes,No,No,No,,1,Ultraflextreme Bruker MALDI TOF/TOF ,3-5 data sets / week,,,,
29,1980-01-01 00:00:00,1,en,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,,Yes,No,No,No,,Yes,Yes,No,No,No,,1,Ultraflextreme Bruker MALDI TOF/TOF ,1-2 data sets / week,,Less than 1 data set / week,,
30,1980-01-01 00:00:00,1,en,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,,Yes,No,No,No,,Yes,No,No,No,No,,1,Ultraflextreme Bruker MALDI TOF/TOF ,1-2 data sets / day,,,,
31,1980-01-01 00:00:00,1,en,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,No,,4,Ultraflextreme \t  Synapt G2 \t  Solarix \t  Axima,1-2 data sets / day,,1-2 data sets / week,,
32,1980-01-01 00:00:00,1,en,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,,Yes,Yes,No,No,Yes,,2,,Other,one instrumment running almost 24/7,3-5 data sets / week,,
33,1980-01-01 00:00:00,1,en,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,15,,3-5 data sets / day,,3-5 data sets / week,,
34,1980-01-01 00:00:00,1,en,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,,No,Yes,No,No,No,,1,MALDI TOF,1-2 data sets / week,,Less than 1 data set / week,,
36,1980-01-01 00:00:00,1,en,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,,Yes,No,No,No,,No,No,Yes,No,No,,1,,3-5 data sets / week,,3-5 data sets / week,,
37,1980-01-01 00:00:00,1,en,No,No,No,No,No,No,No,No,No,No,No,No,No,Biomed/Analytical Chemist,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,,Yes,No,No,No,,Yes,Yes,No,Yes,No,,2,Bruker UTX and Bruker FTICR 12T,3-5 data sets / week,,3-5 data sets / week,,
39,1980-01-01 00:00:00,1,en,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,Yes,No,No,No,,No,Yes,No,Yes,No,,2,Ultraflextreme Bruker MALDI TOF/TOF \t Solarix MALDI/ESI-FT-ICR,1-2 data sets / week,,1-2 data sets / week,,
41,1980-01-01 00:00:00,1,en,No,No,No,No,No,No,No,No,No,No,No,No,No,bioanalyst,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,,Yes,Yes,Yes,No,No,,1,Synapt G2 \t Ultraflextreme Bruker MALDI TOF/TOF ,3-5 data sets / week,,1-2 data sets / week,,
42,1980-01-01 00:00:00,1,en,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,,Yes,No,No,No,,No,No,No,Yes,No,,2,FT-ICR mass spectrometers,1-2 data sets / day,,1-2 data sets / day,,
43,1980-01-01 00:00:00,1,en,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,,No,No,No,No,IR-MALDESI,No,No,No,No,Yes,,1,Q Exactive Plus Thermo,3-5 data sets / week,,3-5 data sets / week,,
44,1980-01-01 00:00:00,1,en,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,MALDESI,No,No,No,No,Yes,,1,Q Exactive Plus Thermo,3-5 data sets / week,,3-5 data sets / week,,
45,1980-01-01 00:00:00,1,en,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,,Yes,No,No,No,,Yes,Yes,No,No,No,,,,1-2 data sets / day,,Less than 1 data set / week,,
46,1980-01-01 00:00:00,1,en,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,,Yes,No,No,No,,Yes,Yes,No,No,Yes,,2,LTQ orbitrap XL \t  1 Ultraflex III TOF/TOF,Less than 1 data set / week,,Less than 1 data set / week,,
47,1980-01-01 00:00:00,1,en,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,No,No,,No,No,Yes,No,No,,1,,Less than 1 data set / week,,Less than 1 data set / week,,
48,1980-01-01 00:00:00,1,en,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,,Yes,No,No,No,,No,No,No,Yes,No,,2,Bruker SolariX 7Tesla FT-ICR MS,1-2 data sets / day,,1-2 data sets / day,,
49,1980-01-01 00:00:00,1,en,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,,Yes,No,No,No,,No,Yes,No,No,No,,1,Autoflex Speed Bruker MALDI-TOF/TOF mass spectrometer,3-5 data sets / week,,,,
50,1980-01-01 00:00:00,1,en,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,Yes,No,Yes,No,,No,No,Yes,Yes,No,,2,solariX FTMS 7T \t  SYNAPT G2 with ion mobility,Less than 1 data set / week,,Less than 1 data set / week,,
54,1980-01-01 00:00:00,1,en,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,,Yes,Yes,No,No,LESA,Yes,Yes,No,No,Yes,QQQ,5,,3-5 data sets / day,,1-2 data sets / day,,Orbitrap usually not run at maximum specs to save time - mostly working at R=70k.
55,1980-01-01 00:00:00,1,en,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,Yes,Yes,No,No,,No,No,Yes,No,No,,2,G2Si \t G2Synapt,Less than 1 data set / week,,Less than 1 data set / week,,
58,1980-01-01 00:00:00,1,en,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,,Yes,No,No,No,,No,No,No,No,Yes,,1,MALDI Orbitrap LTQ,1-2 data sets / week,,1-2 data sets / week,,
59,1980-01-01 00:00:00,1,en,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,Yes,No,Yes,Yes,,No,No,No,No,No,sector,6,,3-5 data sets / day,,,,Define high resolution -  spatial or MS
60,1980-01-01 00:00:00,1,en,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,MS imaging is more than just MALDI,Yes,Yes,Yes,No,,No,Yes,No,No,No,,2,BIOTOF (Manchester and KORE Technology)\tJ105 (Manchester -  Ionoptika),3-5 data sets / day,,Other,Spatial -  spectral or both at the same time? Let's say 3 per day.,"Hi Andrew -  
If you wish to consider the entirety of mass spectrometric imaging -  you need to move away from the MALDI-centric world and see what others are doing. Best wishes -  Alex"
61,1980-01-01 00:00:00,1,en,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,Yes,No,,No,No,No,No,No,Magnetic Sector,2,CAMECA ims-4f \t CAMECA ims-1280,1-2 data sets / day,,Less than 1 data set / week,,
63,1980-01-01 00:00:00,1,en,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,No,Yes,No,,Yes,Yes,Yes,No,No,,4,,3-5 data sets / day,,Less than 1 data set / week,,
65,1980-01-01 00:00:00,1,en,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,,Yes,No,No,Yes,No,,5,,3-5 data sets / week,,3-5 data sets / week,,
66,1980-01-01 00:00:00,1,en,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,,Yes,Yes,No,No,LESA,No,Yes,Yes,No,No,Q-IMS-TOF (ion mobility),3,AB Sciex- QStar XL \t Bruker- Autoflex III \t Waters- Synapt G2 \t Waters- Xevo G2-XS,3-5 data sets / day,,Less than 1 data set / week,,
67,1980-01-01 00:00:00,1,en,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Using SIMS -  NOT MALDI,No,No,Yes,No,,No,Yes,No,No,No,Novel DC ToF SIMS,1,J105 SIMS,3-5 data sets / week,,3-5 data sets / week,,I use the J105 SIMS from Ionoptika Ltd
68,1980-01-01 00:00:00,1,en,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,,Yes,No,No,No,,Yes,Yes,No,Yes,No,,3,AutoFlex III LRF Bruker \t Ultraflextreme Bruker MALDI TOF/TOF \t SolariX XR 7T Bruker ,3-5 data sets / week,,1-2 data sets / week,,
69,1980-01-01 00:00:00,1,en,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,No,No,,Yes,No,Yes,No,No,,2,,3-5 data sets / week,,3-5 data sets / week,,
71,1980-01-01 00:00:00,1,en,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,,No,No,No,No,Yes,,1,,3-5 data sets / day,,3-5 data sets / day,,
72,1980-01-01 00:00:00,1,en,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,No,,Yes,Yes,No,Yes,No,,16,,More than 5 data sets / day,,1-2 data sets / week,,
73,1980-01-01 00:00:00,1,en,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,,Yes,Yes,No,No,,No,Yes,No,No,No,,0,,Less than 1 data set / week,,Less than 1 data set / week,,
74,1980-01-01 00:00:00,1,en,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,,Yes,No,No,No,,No,Yes,Yes,No,No,,3,Qstar \t Bruker Autoflex \t Waters Synapt Q2,1-2 data sets / day,,1-2 data sets / week,,
